preamble,stimulus,is_correct,subject
"Mass-society theory suggests that: (A) the media manipulate 'the masses' as vulnerable, passive consumers (B) the content of the media is determined by market forces (C) the subordinate classes are dominated by the ideology of the ruling class and (D) audiences make selective interpretations of media messages. Of the answer choices above, answer (A) is the",best,1,sociology
"Mass-society theory suggests that: (A) the media manipulate 'the masses' as vulnerable, passive consumers (B) the content of the media is determined by market forces (C) the subordinate classes are dominated by the ideology of the ruling class and (D) audiences make selective interpretations of media messages. Of the answer choices above, answer (B) is the",best,0,sociology
"Mass-society theory suggests that: (A) the media manipulate 'the masses' as vulnerable, passive consumers (B) the content of the media is determined by market forces (C) the subordinate classes are dominated by the ideology of the ruling class and (D) audiences make selective interpretations of media messages. Of the answer choices above, answer (C) is the",best,0,sociology
"Mass-society theory suggests that: (A) the media manipulate 'the masses' as vulnerable, passive consumers (B) the content of the media is determined by market forces (C) the subordinate classes are dominated by the ideology of the ruling class and (D) audiences make selective interpretations of media messages. Of the answer choices above, answer (D) is the",best,0,sociology
"The ecological approach to urban sociology involved studying: (A) how social groups colonized different areas of the city and competed for resources (B) the forms of wildlife and natural habitats that could be found on the edges of the city (C) the way in which people organized collective protests about environmental issues and (D) how men and women used the city's public spaces differently. Of the answer choices above, answer (A) is the",best,1,sociology
"The ecological approach to urban sociology involved studying: (A) how social groups colonized different areas of the city and competed for resources (B) the forms of wildlife and natural habitats that could be found on the edges of the city (C) the way in which people organized collective protests about environmental issues and (D) how men and women used the city's public spaces differently. Of the answer choices above, answer (B) is the",best,0,sociology
"The ecological approach to urban sociology involved studying: (A) how social groups colonized different areas of the city and competed for resources (B) the forms of wildlife and natural habitats that could be found on the edges of the city (C) the way in which people organized collective protests about environmental issues and (D) how men and women used the city's public spaces differently. Of the answer choices above, answer (C) is the",best,0,sociology
"The ecological approach to urban sociology involved studying: (A) how social groups colonized different areas of the city and competed for resources (B) the forms of wildlife and natural habitats that could be found on the edges of the city (C) the way in which people organized collective protests about environmental issues and (D) how men and women used the city's public spaces differently. Of the answer choices above, answer (D) is the",best,0,sociology
"Becker proclaimed that cannabis use was: (A) learned gradually through the social processes of a deviant career (B) increasing throughout all sections of youth in the 1970s (C) a dangerous pastime that young people should not be allowed to pursue and (D) not as enjoyable as other sociologists had suggested. Of the answer choices above, answer (A) is the",best,1,sociology
"Becker proclaimed that cannabis use was: (A) learned gradually through the social processes of a deviant career (B) increasing throughout all sections of youth in the 1970s (C) a dangerous pastime that young people should not be allowed to pursue and (D) not as enjoyable as other sociologists had suggested. Of the answer choices above, answer (B) is the",best,0,sociology
"Becker proclaimed that cannabis use was: (A) learned gradually through the social processes of a deviant career (B) increasing throughout all sections of youth in the 1970s (C) a dangerous pastime that young people should not be allowed to pursue and (D) not as enjoyable as other sociologists had suggested. Of the answer choices above, answer (C) is the",best,0,sociology
"Becker proclaimed that cannabis use was: (A) learned gradually through the social processes of a deviant career (B) increasing throughout all sections of youth in the 1970s (C) a dangerous pastime that young people should not be allowed to pursue and (D) not as enjoyable as other sociologists had suggested. Of the answer choices above, answer (D) is the",best,0,sociology
"The middle classes that developed over the nineteenth century were: (A) all of the above (B) an urban set, involved in civic bodies and voluntary associations (C) too diverse to have a strong sense of class consciousness and (D) often involved in 'white collar' work. Of the answer choices above, answer (A) is the",best,1,sociology
